date,sunscreen,ice cream,hot chocolate,christmas
2022-01-16,32,42,26,2
2022-01-23,36,47,25,2
2022-01-30,39,51,26,2
2022-02-06,39,51,20,2
2022-02-13,42,50,17,2
2022-02-20,47,53,17,2
2022-02-27,54,53,14,1
2022-03-06,53,53,15,1
2022-03-13,60,60,13,1
2022-03-20,66,67,13,2
2022-03-27,62,63,13,1
2022-04-03,62,64,12,1
2022-04-10,68,73,13,1
2022-04-17,68,64,12,1
2022-04-24,71,72,12,1
2022-05-01,72,70,11,1
2022-05-08,83,69,11,1
2022-05-15,80,73,10,1
2022-05-22,77,81,10,1
2022-05-29,85,81,11,1
2022-06-05,83,76,11,1
2022-06-12,88,82,10,1
2022-06-19,84,86,10,2
2022-06-26,81,83,10,2
2022-07-03,83,89,11,2
2022-07-10,82,86,11,2
2022-07-17,77,93,10,2
2022-07-24,71,80,11,2
2022-07-31,70,80,10,2
2022-08-07,69,77,11,2
2022-08-14,66,71,11,2
2022-08-21,59,69,12,3
2022-08-28,59,64,12,3
2022-09-04,54,61,14,3
2022-09-11,52,57,15,4
2022-09-18,52,54,16,4
2022-09-25,48,49,18,5
2022-10-02,45,51,20,6
2022-10-09,48,50,21,7
2022-10-16,44,59,24,8
2022-10-23,42,52,25,10
2022-10-30,46,46,30,14
2022-11-06,45,47,35,20
2022-11-13,46,46,48,26
2022-11-20,45,46,44,31
2022-11-27,43,47,50,42
2022-12-04,42,46,57,47
2022-12-11,44,44,64,49
2022-12-18,45,46,70,73
2022-12-25,52,51,43,46
