date,online shopping,amazon,delivery,supermarket,toilet paper
2021-07-25,62,62,40,62,3
2021-08-01,62,63,38,59,3
2021-08-08,65,60,39,61,3
2021-08-15,61,64,39,62,3
2021-08-22,57,62,38,59,3
2021-08-29,56,62,36,57,3
2021-09-05,56,64,35,57,3
2021-09-12,56,64,35,56,3
2021-09-19,57,63,33,58,4
2021-09-26,61,63,32,53,4
2021-10-03,69,66,34,53,3
2021-10-10,61,62,33,54,3
2021-10-17,65,65,34,53,3
2021-10-24,61,65,35,54,3
2021-10-31,57,64,33,52,3
2021-11-07,58,69,33,53,3
2021-11-14,58,71,33,52,3
2021-11-21,59,82,33,59,3
2021-11-28,58,79,33,51,4
2021-12-05,58,79,36,53,5
2021-12-12,60,82,37,56,4
2021-12-19,58,73,39,76,4
2021-12-26,55,69,37,66,4
2022-01-02,59,73,38,53,4
2022-01-09,55,65,35,52,4
2022-01-16,51,67,31,47,4
2022-01-23,52,65,33,50,4
2022-01-30,55,67,33,54,5
2022-02-06,53,65,35,52,4
2022-02-13,53,64,36,52,4
2022-02-20,55,60,31,49,4
2022-02-27,54,60,33,53,3
2022-03-06,59,62,31,53,3
2022-03-13,55,61,31,50,4
2022-03-20,57,60,32,54,4
2022-03-27,57,62,32,52,3
2022-04-03,55,58,31,54,3
2022-04-10,57,59,31,60,3
2022-04-17,56,57,30,57,3
2022-04-24,55,62,31,53,3
2022-05-01,56,62,34,53,3
2022-05-08,55,57,31,52,3
2022-05-15,52,59,30,67,3
2022-05-22,53,60,30,55,3
2022-05-29,51,58,30,55,3
2022-06-05,51,62,29,53,3
2022-06-12,52,62,32,59,4
2022-06-19,56,63,33,57,3
2022-06-26,54,63,30,60,3
2022-07-03,54,65,31,63,3
2022-07-10,56,79,31,60,3
2022-07-17,54,67,31,60,3
2022-07-24,55,65,32,61,3
2022-07-31,54,64,30,59,3
2022-08-07,54,64,30,61,3
2022-08-14,51,64,30,61,3
2022-08-21,54,63,30,59,3
2022-08-28,50,64,29,55,3
2022-09-04,50,61,29,60,3
2022-09-11,54,63,29,54,3
2022-09-18,58,68,29,56,3
2022-09-25,66,67,29,54,3
2022-10-02,55,67,30,54,3
2022-10-09,59,70,29,55,3
2022-10-16,57,65,28,52,3
2022-10-23,49,62,28,54,3
2022-10-30,48,63,27,52,3
2022-11-06,52,68,28,52,3
2022-11-13,51,75,29,52,3
2022-11-20,52,80,26,55,3
2022-11-27,51,74,29,48,3
2022-12-04,51,75,32,52,3
2022-12-11,56,82,32,51,3
2022-12-18,49,71,33,64,3
2022-12-25,50,73,31,70,3
