date,remote work,work from home,office
2022-09-11,85,53,79
2022-09-18,88,52,72
2022-09-25,85,49,72
2022-10-02,91,45,71
2022-10-09,89,50,72
2022-10-16,81,47,73
2022-10-23,85,45,69
2022-10-30,89,50,67
2022-11-06,90,49,70
2022-11-13,91,49,72
2022-11-20,77,39,66
2022-11-27,90,50,65
2022-12-04,87,46,66
2022-12-11,85,49,72
2022-12-18,79,41,71
2022-12-25,87,46,65
