date,diet,gym,workout,weight loss
2022-01-23,49,77,56,63
2022-01-30,49,79,60,65
2022-02-06,53,78,60,67
2022-02-13,53,75,55,64
2022-02-20,50,75,54,63
2022-02-27,52,78,57,67
2022-03-06,53,75,55,66
2022-03-13,52,74,52,66
2022-03-20,54,76,55,69
2022-03-27,51,76,54,69
2022-04-03,49,75,55,66
2022-04-10,47,72,54,65
2022-04-17,49,72,52,66
2022-04-24,48,74,53,65
2022-05-01,49,76,52,69
2022-05-08,52,77,52,68
2022-05-15,49,73,53,65
2022-05-22,48,76,52,64
2022-05-29,48,78,52,65
2022-06-05,49,79,60,71
2022-06-12,49,81,55,65
2022-06-19,50,77,56,69
2022-06-26,47,80,55,73
2022-07-03,48,81,54,69
2022-07-10,46,79,55,66
2022-07-17,49,79,55,68
2022-07-24,47,84,56,68
2022-07-31,49,82,55,67
2022-08-07,45,78,54,65
2022-08-14,48,82,54,65
2022-08-21,47,81,52,64
2022-08-28,45,83,51,64
2022-09-04,44,87,49,60
2022-09-11,44,80,49,63
2022-09-18,46,80,49,65
2022-09-25,44,83,46,60
2022-10-02,43,75,45,59
2022-10-09,45,78,50,61
2022-10-16,42,76,45,59
2022-10-23,44,73,46,61
2022-10-30,44,72,45,60
2022-11-06,45,77,47,65
2022-11-13,42,81,49,61
2022-11-20,36,86,42,50
2022-11-27,42,79,47,57
2022-12-04,40,75,44,55
2022-12-11,39,77,44,54
2022-12-18,36,70,41,52
2022-12-25,42,87,50,68
